,student_id,program,enrollment_date,current_semester,login_count,avg_grade
0,S1001,Computer Science,2022-09-01,6,32,48.294117647058826
1,S1002,Data Science,2022-09-01,6,29,53.666666666666664
2,S1003,Computer Science,2023-01-15,5,36,49.4
3,S1004,Mathematics,2022-09-01,6,38,42.8
4,S1005,Statistics,2023-09-01,4,47,51.36842105263158
5,S1006,Data Science,2023-01-15,5,47,47.73076923076923
6,S1007,Computer Engineering,2022-09-01,6,49,55.13636363636363
7,S1008,Mathematics,2023-09-01,4,41,49.285714285714285
8,S1009,Computer Science,2023-01-15,5,53,61.72222222222222
9,S1010,Data Science,2023-09-01,4,29,54.28
10,S1011,Statistics,2022-09-01,6,50,58.72727272727273
11,S1012,Computer Science,2023-01-15,5,36,51.791666666666664
12,S1013,Mathematics,2023-09-01,4,39,48.80952380952381
13,S1014,Data Science,2022-09-01,6,31,61.2
14,S1015,Computer Engineering,2023-01-15,5,33,60.5
15,S1016,Statistics,2023-09-01,4,39,48.36842105263158
16,S1017,Computer Science,2022-09-01,6,36,50.266666666666666
17,S1018,Data Science,2023-01-15,5,40,62.73684210526316
18,S1019,Mathematics,2023-09-01,4,40,60.92857142857143
19,S1020,Computer Science,2022-09-01,6,37,53.05882352941177
20,S1021,Computer Science,2024-01-15,3,48,51.31578947368421
21,S1022,Data Science,2024-01-15,3,36,55.57142857142857
22,S1023,Computer Science,2024-01-15,3,41,58.166666666666664
23,S1024,Mathematics,2024-01-15,3,39,56.56521739130435
24,S1025,Statistics,2024-01-15,3,49,52.45
25,S1026,Data Science,2024-01-15,3,32,50.45
26,S1027,Computer Engineering,2024-01-15,3,42,58.07692307692308
27,S1028,Mathematics,2024-01-15,3,35,55.888888888888886
28,S1029,Computer Science,2024-09-01,2,40,53.43478260869565
29,S1030,Data Science,2024-09-01,2,41,42.73684210526316
30,S1031,Statistics,2024-09-01,2,42,48.81818181818182
31,S1032,Computer Science,2024-09-01,2,35,63.25
32,S1033,Mathematics,2024-09-01,2,36,58.6
33,S1034,Data Science,2024-09-01,2,39,50.733333333333334
34,S1035,Computer Engineering,2024-09-01,2,32,52.88
35,S1036,Statistics,2024-09-01,2,52,60.5625
36,S1037,Computer Science,2024-09-01,2,52,56.94736842105263
37,S1038,Data Science,2024-09-01,2,30,50.714285714285715
38,S1039,Mathematics,2025-01-15,1,40,47.869565217391305
39,S1040,Computer Science,2025-01-15,1,46,59.266666666666666
40,S1041,Computer Science,2025-01-15,1,42,61.36363636363637
41,S1042,Data Science,2025-01-15,1,32,57.53333333333333
42,S1043,Computer Science,2025-01-15,1,40,56.35
43,S1044,Mathematics,2025-01-15,1,41,55.733333333333334
44,S1045,Statistics,2025-01-15,1,48,51.5
45,S1046,Data Science,2025-01-15,1,38,43.10526315789474
46,S1047,Computer Engineering,2025-01-15,1,44,52.625
47,S1048,Mathematics,2025-01-15,1,38,64.28571428571429
48,S1049,Computer Science,2025-01-15,1,38,56.91304347826087
49,S1050,Data Science,2025-01-15,1,50,52.85
